CUST_ID,PC1,PC2
C10001,0.9777267435249636,-6.01920165220076
C10002,-8.378746834844636,1.5010839321436253
C10005,-1.123714667142317,-4.079621105416804
C10006,3.731335896544715,-3.6604187663550496
C10008,2.729357153424578,-4.18521078620011
C10009,5.36976259095949,-0.8782436900541447
C10011,3.4709640809727853,-3.893327607424363
C10012,3.6123532079859455,-0.7507460886422429
C10013,7.615719246400507,0.29398224297327574
C10014,7.094534210044511,-0.631692150134134
C10015,-6.952879021892316,-1.2160109954645706
C10016,0.1662974283583639,2.883356147220599
C10019,4.845207351029377,-1.1567848403733991
C10022,5.646905998441423,6.180336848248899
C10024,3.30917762548087,8.463569052510143
C10026,2.772190103791017,-5.077485065460311
C10027,-2.0759405021015804,2.061714234334719
C10028,2.224737641466712,-5.393846828149392
C10030,1.269656031469623,-5.905581394777099
C10031,3.7737123753516135,7.48342507404287
C10032,4.114885446064788,3.1435162513692845
C10033,-1.61945856368085,4.759178989646759
C10034,3.000512129589517,-1.7966783228877046
C10036,-6.36318601814287,-2.496360117652007
C10038,3.6362887122973895,6.486680214124089
C10039,-2.7008061122388796,5.162479229545718
C10043,2.9025761308351954,5.570925018092703
C10044,1.2138927516355726,-1.4444343096530718
C10045,-7.591416902326308,-0.6683728307195143
C10046,6.554184303756382,-0.06417310107698966
C10051,-0.7768955326963554,3.596140926960266
C10053,7.554253051214398,0.3767798679392209
C10054,-6.958023991470046,-1.3495325525311632
C10059,8.049076077499455,1.4823692595810936
C10061,-1.5385553496430815,1.6581271688272605
C10063,0.15313357353811072,-2.8524953718582036
C10067,0.9672417976750579,2.5126589143149483
C10068,4.385647145461759,-1.2064748551199114
C10070,-7.1052608405689766,-1.253762018288331
C10071,3.7879219449226897,-0.9116419015740316
C10072,3.3691582633828,-0.2580086385168877
C10073,-0.5778064358868503,1.467503176196665
C10079,5.06086937968728,-0.5551617580755474
C10081,2.403977896595285,-4.609120087372652
C10083,-1.9687352490027092,6.031852260247971
C10084,3.938017779987852,-3.701392972281575
C10093,-2.4760219495802995,0.9498578608159598
C10094,-8.18322349916594,1.180730705082002
C10097,-3.1331319673068263,1.4410497575096588
C10100,-6.490663266813711,-2.428043670895884
C10101,3.014001734730421,-0.8439215364393312
C10107,7.853201313918801,1.0427110830733648
C10109,-7.2848588323678625,-0.771628059404143
C10110,-0.5974936833836616,4.748796842911295
C10111,3.6227289543382026,-4.403301454465185
C10112,-8.597320932012307,1.7322472048627298
C10113,1.7070132355775522,2.914688667627934
C10114,3.9481702212448844,8.755989519521693
C10115,6.7791582129488575,-1.214655254210696
C10117,3.8649835228803515,6.701181754425941
C10118,-8.258587419785627,1.2792374854548525
C10120,6.189727141149365,-0.9515890721938962
C10122,-7.394445530165325,-0.5865282812391587
C10124,-7.226566756198745,-0.7868098918332127
C10125,5.321797501961016,7.704810608564445
C10127,5.788911051203118,-2.9505278482798656
C10128,-7.494325072516852,-0.2572914747235849
C10130,-8.39784691419351,1.941812143781111
C10131,6.499735673197669,2.267725337536127
C10133,6.935215548138919,0.2114461963380413
C10134,-3.6141279025521715,6.075392706768072
C10137,6.357197565480483,-0.12318241717930842
C10140,3.010867892677661,-4.727152866979114
C10141,5.8063630280197644,-0.3140038598110061
C10142,8.6438142019532,0.620258017415216
C10143,2.588395313993255,3.923709065453241
C10146,3.2245573872243227,-2.197306651589459
C10147,-7.514355677219586,-0.4340621672644435
C10149,6.886553951759682,0.9897812646267595
C10151,2.9294049611370645,-0.38470997272813257
C10152,3.4190859288206283,-5.0378588162597016
C10153,-3.3168158497953155,0.8307008062339996
C10154,5.5595644889311595,-1.305697908016565
C10155,3.282788246707958,1.9675950513322518
C10163,-6.260106486872453,-2.4989570361920053
C10165,-0.4496871730074426,1.5384339968180742
C10166,-7.175334312672692,-0.8963107696447675
C10167,-7.440292217227603,-0.19661716515028763
C10168,5.329807448951693,-1.8692161960580125
C10169,4.123711171320172,-1.0705002496741227
C10171,-7.013599522479234,-0.7398788858144462
C10174,3.4870047389368026,-3.9535997981688613
C10175,7.007254401961046,-0.4159355046192877
C10181,-6.729968413049315,-1.9040457787229201
C10183,-7.997246133807714,0.7264636587073954
C10186,7.055573653589225,-1.1500489162289953
C10190,5.380270348975042,-1.64468903433781
C10191,4.570948144792799,-4.293649101038717
C10192,-2.3639352315141156,1.2877612439090202
C10193,5.141438542069322,-1.7302830440973043
C10196,-1.0446157539323424,3.3187479322389084
C10200,3.979992430723927,-3.130185704555038
C10201,3.0369858577928017,-0.3029319354573347
C10202,7.700505815963281,0.39046147216158905
C10205,2.9674687994161384,-0.586591149409614
C10208,1.0432525292744594,3.92091829789749
C10211,3.447205945119818,5.83779701236648
C10212,9.753269618443854,2.3826145586919307
C10214,-1.1974465269602173,5.05948510425994
C10215,1.0170011552802407,7.096558415525098
C10216,2.3725352846488765,6.964628219035899
C10219,5.232141550308964,-0.1516304147029572
C10220,-6.322331845004028,-1.7983432379039594
C10221,2.271088235369875,-1.5439201141745424
C10224,3.1287340225295392,2.2487554639325014
C10228,5.798910731365224,5.196561354239147
C10232,6.507598757636803,0.6682247070871806
C10233,5.277205296823819,2.059735464217744
C10234,0.8017275534707473,-3.8188629509520524
C10235,6.600245076116986,0.026875237452431252
C10236,7.249270299179175,0.44648663107789727
C10238,9.265668776942801,1.1026622522273155
C10239,5.931368392640563,-1.076682015463918
C10240,4.790896221661611,-3.6749983080286404
C10241,0.204220317784861,4.835309897105405
C10242,-0.20018870057740162,-2.9465926932939315
C10243,4.927558100762668,4.608032758505285
C10245,-1.732089233910943,2.5815836438229205
C10246,0.2702795575573101,1.8090566372041381
C10248,4.021419943296351,-1.96347562144333
C10253,7.878182419029699,0.8413048290844405
C10255,6.970977922593588,-0.43296382523575355
C10256,1.2958253904235322,-6.536304950147824
C10257,-2.3395434412069855,4.4120613042259285
C10259,-0.6976424581002443,6.3121923926814985
C10260,3.190371139911422,-4.014500898128651
C10261,1.9424823575525358,-5.956292927455513
C10263,-7.1579712832240245,-0.5755594652425441
C10266,-0.27734447825851394,-5.058525542652715
C10267,2.991248649956416,4.903251970940429
C10269,4.466973968516035,-2.9370404536087067
C10270,-7.771498593176539,0.0836435010539691
C10271,4.104722122786643,0.6443328492254173
C10272,5.759682041849134,3.9924623245496322
C10273,6.661460178630476,5.472970944706081
C10277,7.758616134770198,-0.29559435889440044
C10278,2.7279795463523717,-0.7341515805875856
C10279,2.670864522057741,-1.905042274650519
C10280,3.9263135512737626,7.324232995404754
C10282,-2.605619992442971,4.125034090910324
C10285,-0.38749185878907233,6.384328421614231
C10287,-1.4720225947854684,1.70859750947365
C10290,3.576332685977973,4.915481515671736
C10291,7.4910256543521845,1.63161475881545
C10292,0.7797168874492384,-0.9017749475458511
C10293,3.7093904604990073,-2.0242950138908533
C10294,7.7643098489606786,0.3879372058755011
C10295,-7.123598290812975,-1.2273443828377506
C10297,-7.20807014490485,-0.8623736748998396
C10298,0.5361544532382588,4.857770198654894
C10300,-7.244123046893296,-0.38644565192073055
C10302,0.46476561221192714,5.628785182453849
C10303,3.464883177019475,0.04140834156826382
C10304,-7.159566532669611,-0.7104665352275541
C10305,3.0356699924806203,-5.191330629035943
C10307,-2.238641203271854,4.557518696954519
C10308,-8.049394759244466,0.9859768822659908
C10311,-0.8401321792148978,5.416808466991084
C10312,7.572198973959516,0.812520867844558
C10313,-7.786622657757751,0.7575842429832118
C10315,-8.68891120175166,2.1450844931851756
C10324,-7.090841043810029,-1.4223002707720618
C10325,-8.044588102812057,0.5544688293172009
C10328,1.2723930867515538,-2.4067139756305
C10329,2.2513794603916657,-5.475169809666363
C10331,-5.040541617598634,1.4807411245088034
C10332,1.5090049965294658,6.535633419169883
C10333,-8.06048583999995,1.0010110820461355
